method,model_batch_norm,model_dropout,model_layers,model_classes,model_supports,testing_classes,testing_supports,integer_range,unseen,cos_acc,true_lsh_acc,sigmoid_lsh_acc
lsh_one_rest,True,True,3,3,5,5,1,1000,True,0.2006,0.197,0.204
lsh_one_rest,True,True,3,3,5,5,2,1000,True,0.2288,0.2634,0.2726
lsh_one_rest,True,True,3,3,5,5,5,1000,True,0.1994,0.2156,0.2326
lsh_one_rest,True,True,3,3,5,5,10,1000,True,0.2606,0.2406,0.241
