method,model_batch_norm,model_dropout,model_layers,model_classes,model_supports,testing_classes,testing_supports,testing_planes,integer_range,unseen,cos_acc,true_lsh_acc,sigmoid_lsh_acc
lsh_random,True,True,3,3,5,5,5,100,1000,True,0.1994,0.254,0.254
lsh_random,True,True,3,3,5,5,5,200,1000,True,0.1994,0.1936,0.1936
lsh_random,True,True,3,3,5,5,5,500,1000,True,0.1994,0.2056,0.2056
lsh_random,True,True,3,3,5,5,5,600,1000,True,0.1994,0.1954,0.1954
lsh_random,True,True,3,3,5,5,5,750,1000,True,0.1994,0.1984,0.1984
lsh_random,True,True,3,3,5,5,5,1000,1000,True,0.1994,0.1846,0.1846
lsh_random,True,True,3,3,5,5,5,1250,1000,True,0.1994,0.2114,0.2114
lsh_random,True,True,3,3,5,5,5,1500,1000,True,0.1994,0.2106,0.2106
lsh_random,True,True,3,3,5,5,5,1750,1000,True,0.1994,0.1978,0.1978
lsh_random,True,True,3,3,5,5,5,2000,1000,True,0.1994,0.1866,0.1866
