method,model_batch_norm,model_dropout,model_layers,model_classes,model_supports,testing_classes,testing_supports,testing_planes,integer_range,unseen,cos_acc,true_lsh_acc,sigmoid_lsh_acc
lsh_random,True,True,3,3,5,5,1,100,1000,True,0.2006,0.216,0.216
lsh_random,True,True,3,3,5,5,1,200,1000,True,0.2006,0.208,0.208
lsh_random,True,True,3,3,5,5,1,500,1000,True,0.2006,0.2292,0.2292
lsh_random,True,True,3,3,5,5,1,600,1000,True,0.2006,0.221,0.221
lsh_random,True,True,3,3,5,5,1,750,1000,True,0.2006,0.1852,0.1852
lsh_random,True,True,3,3,5,5,1,1000,1000,True,0.2006,0.204,0.204
lsh_random,True,True,3,3,5,5,1,1250,1000,True,0.2006,0.1786,0.1786
lsh_random,True,True,3,3,5,5,1,1500,1000,True,0.2006,0.184,0.184
lsh_random,True,True,3,3,5,5,1,1750,1000,True,0.2006,0.1956,0.1956
lsh_random,True,True,3,3,5,5,1,2000,1000,True,0.2006,0.2028,0.2028
