method,model_classes,model_supports,testing_classes,testing_supports,unseen,cos_acc,true_lsh_acc,sigmoid_lsh_acc
lsh_one_rest,20,5,1000,10,5,True,0.526,0.442,0.588
lsh_one_rest,20,5,1000,10,10,True,0.517,0.435,0.511
lsh_one_rest,20,5,1000,20,1,True,0.347,0.289,0.415
lsh_one_rest,20,5,1000,20,5,True,0.38,0.27,0.388
lsh_one_rest,20,5,1000,20,10,True,0.314,0.304,0.397
lsh_one_rest,10,5,1000,5,1,True,0.187,0.187,0.187
lsh_one_rest,10,5,1000,5,5,True,0.187,0.187,0.187
lsh_one_rest,10,5,1000,5,10,True,0.169,0.169,0.169
lsh_one_rest,10,5,1000,10,1,True,0.105,0.105,0.105
lsh_one_rest,10,5,1000,10,5,True,0.127,0.127,0.127
lsh_one_rest,10,5,1000,10,10,True,0.112,0.112,0.112
lsh_one_rest,10,5,1000,20,1,True,0.052,0.052,0.052
lsh_one_rest,10,5,1000,20,5,True,0.047,0.047,0.047
lsh_one_rest,10,5,1000,20,10,True,0.046,0.046,0.046
lsh_one_rest,10,5,100,5,1,True,0.196,0.196,0.196
lsh_one_rest,10,5,100,5,5,True,0.217,0.217,0.217
lsh_one_rest,10,5,100,5,10,True,0.208,0.208,0.208
lsh_one_rest,10,5,100,10,1,True,0.097,0.097,0.097
lsh_one_rest,10,5,100,10,5,True,0.107,0.107,0.107
lsh_one_rest,10,5,100,10,10,True,0.104,0.104,0.104
lsh_one_rest,10,5,100,20,1,True,0.053,0.053,0.053
lsh_one_rest,10,5,100,20,5,True,0.047,0.047,0.047
lsh_one_rest,10,5,100,20,10,True,0.052,0.052,0.052
lsh_one_rest,10,2,100,5,1,True,0.673,0.333,0.263
lsh_one_rest,10,2,100,5,5,True,0.29,0.305,0.342
lsh_one_rest,10,2,100,5,10,True,0.479,0.459,0.51
lsh_one_rest,10,2,100,10,1,True,0.549,0.112,0.022
lsh_one_rest,10,2,100,10,5,True,0.427,0.326,0.476
lsh_one_rest,10,2,100,10,10,True,0.515,0.447,0.617
lsh_one_rest,10,2,100,20,1,True,0.403,0.051,0.012
lsh_one_rest,10,2,100,20,5,True,0.408,0.2,0.281
lsh_one_rest,10,2,100,20,10,True,0.304,0.259,0.371
lsh_one_rest,10,5,500,5,1,True,0.209,0.209,0.209
lsh_one_rest,10,5,500,5,5,True,0.21,0.21,0.21
lsh_one_rest,10,5,500,5,10,True,0.18,0.18,0.18
lsh_one_rest,10,5,500,10,1,True,0.095,0.095,0.095
lsh_one_rest,10,5,500,10,5,True,0.119,0.119,0.119
