method,model_classes,model_supports,testing_classes,testing_supports,testing_planes,unseen,cos_acc,true_lsh_acc,sigmoid_lsh_acc
lsh_random,10,2,5,1,500,True,0.808,0.786,0.786
lsh_random,10,2,5,5,500,True,0.904,0.86,0.836
lsh_random,10,2,5,10,500,True,0.872,0.752,0.752
lsh_random,10,2,10,1,500,True,0.724,0.619,0.634
lsh_random,10,2,10,5,500,True,0.754,0.696,0.696
lsh_random,10,2,10,10,500,True,0.707,0.718,0.702
lsh_random,10,2,20,1,500,True,0.641,0.632,0.63
lsh_random,10,2,20,5,500,True,0.666,0.641,0.636
lsh_random,10,2,20,10,500,True,0.787,0.722,0.722
lsh_random,10,2,5,1,1000,True,0.869,0.869,0.869
lsh_random,10,2,5,5,1000,True,0.789,0.777,0.775
lsh_random,10,2,5,10,1000,True,0.775,0.81,0.811
lsh_random,10,2,10,1,1000,True,0.878,0.837,0.837
lsh_random,10,2,10,5,1000,True,0.691,0.669,0.653
lsh_random,10,2,10,10,1000,True,0.86,0.822,0.83
lsh_random,10,2,20,1,1000,True,0.795,0.823,0.831
lsh_random,10,2,20,5,1000,True,0.59,0.552,0.556
lsh_random,10,2,20,10,1000,True,0.716,0.669,0.675
lsh_random,20,2,5,1,100,True,0.875,0.778,0.749
lsh_random,20,2,5,5,100,True,0.899,0.778,0.77
lsh_random,20,2,5,10,100,True,0.964,0.784,0.784
lsh_random,20,2,10,1,100,True,0.796,0.658,0.654
lsh_random,20,2,10,5,100,True,0.813,0.623,0.659
lsh_random,20,2,10,10,100,True,0.785,0.643,0.611
lsh_random,20,2,20,1,100,True,0.793,0.663,0.672
lsh_random,20,2,20,5,100,True,0.839,0.607,0.612
lsh_random,20,2,20,10,100,True,0.615,0.444,0.443
lsh_random,20,2,5,1,200,True,0.957,0.93,0.93
lsh_random,20,2,5,5,200,True,0.972,0.972,0.957
lsh_random,20,2,5,10,200,True,0.899,0.755,0.767
lsh_random,20,2,10,1,200,True,0.804,0.802,0.802
lsh_random,20,2,10,5,200,True,0.801,0.693,0.705
lsh_random,20,2,10,10,200,True,0.755,0.623,0.635
lsh_random,20,2,20,1,200,True,0.818,0.65,0.648
lsh_random,20,2,20,5,200,True,0.685,0.576,0.566
