method,model_classes,model_supports,model_period,testing_classes,testing_supports,testing_planes,unseen,cos_acc,true_lsh_acc,sigmoid_lsh_acc
lsh_random,10,1,500,20,5,500,True,0.14,0.128,0.127
lsh_random,10,1,500,20,10,500,True,0.159,0.131,0.131
lsh_random,10,1,500,5,1,1000,True,0.324,0.298,0.298
lsh_random,10,1,500,5,5,1000,True,0.312,0.337,0.336
lsh_random,10,1,500,5,10,1000,True,0.24,0.272,0.272
lsh_random,10,1,500,10,1,1000,True,0.149,0.147,0.147
lsh_random,10,1,500,10,5,1000,True,0.191,0.158,0.157
lsh_random,10,1,500,10,10,1000,True,0.243,0.228,0.229
lsh_random,10,1,500,20,1,1000,True,0.123,0.09,0.091
lsh_random,10,1,500,20,5,1000,True,0.145,0.127,0.127
lsh_random,10,1,500,20,10,1000,True,0.16,0.123,0.121
lsh_random,10,1,1000,5,1,100,True,0.297,0.246,0.246
lsh_random,10,1,1000,5,5,100,True,0.394,0.277,0.284
lsh_random,10,1,1000,5,10,100,True,0.525,0.43,0.429
lsh_random,10,1,1000,10,1,100,True,0.242,0.226,0.226
lsh_random,10,1,1000,10,5,100,True,0.253,0.199,0.201
lsh_random,10,1,1000,10,10,100,True,0.281,0.168,0.168
lsh_random,10,1,1000,20,1,100,True,0.102,0.103,0.107
lsh_random,10,1,1000,20,5,100,True,0.166,0.126,0.126
lsh_random,10,1,1000,20,10,100,True,0.177,0.098,0.097
lsh_random,10,1,1000,5,1,200,True,0.281,0.303,0.303
lsh_random,10,1,1000,5,5,200,True,0.406,0.34,0.34
lsh_random,10,1,1000,5,10,200,True,0.341,0.339,0.332
lsh_random,10,1,1000,10,1,200,True,0.22,0.177,0.177
lsh_random,10,1,1000,10,5,200,True,0.215,0.227,0.228
lsh_random,10,1,1000,10,10,200,True,0.218,0.199,0.199
lsh_random,10,1,1000,20,1,200,True,0.123,0.108,0.108
lsh_random,10,1,1000,20,5,200,True,0.167,0.123,0.123
lsh_random,10,1,1000,20,10,200,True,0.15,0.126,0.126
lsh_random,10,1,1000,5,1,500,True,0.372,0.362,0.362
lsh_random,10,1,1000,5,5,500,True,0.315,0.275,0.275
lsh_random,10,1,1000,5,10,500,True,0.346,0.264,0.261
lsh_random,10,1,1000,10,1,500,True,0.12,0.142,0.141
lsh_random,10,1,1000,10,5,500,True,0.25,0.213,0.212
lsh_random,10,1,1000,10,10,500,True,0.307,0.213,0.217
lsh_random,10,1,1000,20,1,500,True,0.137,0.123,0.121
lsh_random,10,1,1000,20,5,500,True,0.172,0.151,0.15
lsh_random,10,1,1000,20,10,500,True,0.199,0.168,0.165
lsh_random,10,1,1000,5,1,1000,True,0.282,0.308,0.308
lsh_random,10,1,1000,5,5,1000,True,0.436,0.417,0.413
lsh_random,10,1,1000,5,10,1000,True,0.457,0.443,0.447
lsh_random,10,1,1000,10,1,1000,True,0.249,0.208,0.208
lsh_random,10,1,1000,10,5,1000,True,0.28,0.247,0.247
lsh_random,10,1,1000,10,10,1000,True,0.282,0.258,0.26
lsh_random,10,1,1000,20,1,1000,True,0.103,0.073,0.073
lsh_random,10,1,1000,20,5,1000,True,0.201,0.174,0.174
lsh_random,10,1,1000,20,10,1000,True,0.192,0.187,0.187
lsh_random,20,1,500,5,1,100,True,0.22,0.292,0.292
lsh_random,20,1,500,5,5,100,True,0.298,0.235,0.236
lsh_random,20,1,500,5,10,100,True,0.481,0.402,0.402
lsh_random,20,1,500,10,1,100,True,0.161,0.174,0.174
lsh_random,20,1,500,10,5,100,True,0.247,0.164,0.165
lsh_random,20,1,500,10,10,100,True,0.214,0.181,0.183
lsh_random,20,1,500,20,1,100,True,0.067,0.081,0.081
lsh_random,20,1,500,20,5,100,True,0.16,0.097,0.097
lsh_random,20,1,500,20,10,100,True,0.158,0.119,0.119
lsh_random,20,1,500,5,1,200,True,0.351,0.303,0.303
lsh_random,20,1,500,5,5,200,True,0.33,0.246,0.244
lsh_random,20,1,500,5,10,200,True,0.377,0.311,0.311
lsh_random,20,1,500,10,1,200,True,0.17,0.161,0.161
lsh_random,20,1,
