method,model_classes,model_supports,testing_classes,testing_supports,testing_planes,unseen,cos_acc,true_lsh_acc,sigmoid_lsh_acc
lsh_random,10,1,100,20,1,500,True,0.325,0.103,0.113
lsh_random,10,1,100,20,5,500,True,0.336,0.161,0.157
lsh_random,10,1,100,20,10,500,True,0.424,0.197,0.226
lsh_random,10,1,100,5,1,1000,True,0.74,0.58,0.6
lsh_random,10,1,100,5,5,1000,True,0.304,0.356,0.22
lsh_random,10,1,100,5,10,1000,True,0.361,0.241,0.411
lsh_random,10,1,100,10,1,1000,True,0.279,0.194,0.196
lsh_random,10,1,100,10,5,1000,True,0.403,0.299,0.318
lsh_random,10,1,100,10,10,1000,True,0.254,0.261,0.267
lsh_random,10,1,100,20,1,1000,True,0.367,0.303,0.324
lsh_random,10,1,100,20,5,1000,True,0.248,0.159,0.184
lsh_random,10,1,100,20,10,1000,True,0.24,0.167,0.18
lsh_random,20,1,500,5,1,100,True,0.649,0.271,0.354
lsh_random,20,1,500,5,5,100,True,0.635,0.272,0.168
lsh_random,20,1,500,5,10,100,True,0.777,0.495,0.488
lsh_random,20,1,500,10,1,100,True,0.465,0.204,0.187
lsh_random,20,1,500,10,5,100,True,0.533,0.161,0.179
lsh_random,20,1,500,10,10,100,True,0.512,0.247,0.28
lsh_random,20,1,500,20,1,100,True,0.294,0.058,0.066
lsh_random,20,1,500,20,5,100,True,0.316,0.108,0.092
lsh_random,20,1,500,20,10,100,True,0.418,0.154,0.136
lsh_random,20,1,500,5,1,200,True,0.504,0.375,0.332
lsh_random,20,1,500,5,5,200,True,0.666,0.375,0.434
lsh_random,20,1,500,5,10,200,True,0.536,0.394,0.37
lsh_random,20,1,500,10,1,200,True,0.409,0.217,0.204
lsh_random,20,1,500,10,5,200,True,0.565,0.172,0.249
lsh_random,20,1,500,10,10,200,True,0.503,0.229,0.257
lsh_random,20,1,500,20,1,200,True,0.329,0.108,0.155
lsh_random,20,1,500,20,5,200,True,0.342,0.137,0.147
lsh_random,20,1,500,20,10,200,True,0.323,0.087,0.131
lsh_random,20,1,500,5,1,500,True,0.772,0.423,0.438
lsh_random,20,1,500,5,5,500,True,0.82,0.625,0.648
lsh_random,20,1,500,5,10,500,True,0.432,0.289,0.303
lsh_random,20,1,500,10,1,500,True,0.517,0.335,0.278
lsh_random,20,1,500,10,5,500,True,0.49,0.208,0.27
lsh_random,20,1,500,10,10,500,True,0.442,0.256,0.219
lsh_random,20,1,500,20,1,500,True,0.402,0.283,0.303
lsh_random,20,1,500,20,5,500,True,0.388,0.185,0.188
lsh_random,20,1,500,20,10,500,True,0.458,0.203,0.229
lsh_random,20,1,500,5,1,1000,True,0.743,0.561,0.668
lsh_random,20,1,500,5,5,1000,True,0.449,0.365,0.422
lsh_random,20,1,500,5,10,1000,True,0.581,0.46,0.599
lsh_random,20,1,500,10,1,1000,True,0.524,0.393,0.435
lsh_random,20,1,500,10,5,1000,True,0.519,0.335,0.38
lsh_random,20,1,500,10,10,1000,True,0.407,0.349,0.402
lsh_random,20,1,500,20,1,1000,True,0.455,0.255,0.32
