method,model_classes,model_supports,model_period,testing_classes,testing_supports,testing_planes,unseen,cos_acc,true_lsh_acc,sigmoid_lsh_acc
lsh_random,6,2,500,4,5,1000,True,0.391,0.423,0.422
lsh_random,6,2,500,4,10,1000,True,0.352,0.341,0.342
lsh_random,6,1,100,2,1,100,True,0.488,0.472,0.472
lsh_random,6,1,100,2,5,100,True,0.561,0.589,0.589
lsh_random,6,1,100,2,10,100,True,0.694,0.55,0.55
lsh_random,6,1,100,4,1,100,True,0.323,0.337,0.337
lsh_random,6,1,100,4,5,100,True,0.366,0.368,0.367
lsh_random,6,1,100,4,10,100,True,0.385,0.335,0.333
lsh_random,6,1,100,2,1,200,True,0.636,0.488,0.488
lsh_random,6,1,100,2,5,200,True,0.591,0.612,0.603
lsh_random,6,1,100,2,10,200,True,0.661,0.572,0.572
lsh_random,6,1,100,4,1,200,True,0.287,0.3,0.3
lsh_random,6,1,100,4,5,200,True,0.349,0.352,0.351
lsh_random,6,1,100,4,10,200,True,0.477,0.38,0.381
lsh_random,6,1,100,2,1,500,True,0.568,0.568,0.568
lsh_random,6,1,100,2,5,500,True,0.567,0.606,0.607
lsh_random,6,1,100,2,10,500,True,0.72,0.691,0.686
lsh_random,6,1,100,4,1,500,True,0.306,0.318,0.318
lsh_random,6,1,100,4,5,500,True,0.375,0.353,0.354
lsh_random,6,1,100,4,10,500,True,0.434,0.384,0.385
lsh_random,6,1,100,2,1,1000,True,0.61,0.595,0.595
lsh_random,6,1,100,2,5,1000,True,0.64,0.576,0.58
lsh_random,6,1,100,2,10,1000,True,0.633,0.689,0.69
lsh_random,6,1,100,4,1,1000,True,0.284,0.269,0.269
lsh_random,6,1,100,4,5,1000,True,0.352,0.335,0.333
lsh_random,6,1,100,4,10,1000,True,0.493,0.468,0.47
lsh_random,6,2,100,2,1,100,True,0.584,0.568,0.564
lsh_random,6,2,100,2,5,100,True,0.6,0.639,0.639
lsh_random,6,2,100,2,10,100,True,0.621,0.635,0.632
