classes,samples,period,accuracy
6,1,1000,0.9375
6,1,1000,0.96875
6,1,100,0.96875
6,1,100,0.9375
6,1,500,0.90625
6,1,500,0.90625
6,2,1000,0.96875
6,2,1000,0.96875
6,2,100,0.96875
6,2,100,0.9375
6,2,500,1.0
6,2,500,0.90625
6,5,1000,1.0
6,5,1000,1.0
6,5,100,1.0
6,5,100,0.96875
6,5,500,0.96875
6,5,500,0.96875
