classes,samples,period,accuracy
rest,1,1000,0.0625
rest,1,100,0.09375
rest,1,500,0.0
rest,2,1000,0.03125
rest,2,100,0.0625
rest,2,500,0.09375
rest,5,1000,0.0625
rest,5,100,0.125
rest,5,500,0.1875
rest,1,1000,0.03125
rest,1,100,0.15625
rest,1,500,0.0
rest,2,1000,0.03125
rest,2,100,0.0
rest,2,500,0.0625
rest,5,1000,
rest,5,100,0.125
rest,5,500,0.09375
