method,model_batch_norm,model_dropout,model_layers,model_classes,model_supports,testing_classes,testing_supports,testing_planes,integer_range,unseen,cos_acc,true_lsh_acc,sigmoid_lsh_acc
lsh_random,True,True,4,20,5,5,5,1250,1000,True,0.3864,0.3204,0.3204
lsh_random,True,True,4,20,5,5,10,1250,1000,True,0.4222,0.4184,0.4184
lsh_random,True,True,4,20,5,10,1,1250,1000,True,0.2176,0.2458,0.2458
lsh_random,True,True,4,20,5,10,2,1250,1000,True,0.2238,0.2184,0.2184
lsh_random,True,True,4,20,5,10,5,1250,1000,True,0.3316,0.3036,0.3036
lsh_random,True,True,4,20,5,10,10,1250,1000,True,0.3632,0.3522,0.3522
lsh_random,True,True,4,20,5,20,1,1250,1000,True,0.19,0.1748,0.1748
lsh_random,True,True,4,20,5,20,2,1250,1000,True,0.1504,0.1348,0.1348
lsh_random,True,True,4,20,5,20,5,1250,1000,True,0.238,0.2256,0.2256
lsh_random,True,True,4,20,5,20,10,1250,1000,True,0.251,0.2184,0.2184
lsh_random,True,True,4,20,5,5,1,1500,1000,True,0.25,0.2416,0.2416
lsh_random,True,True,4,20,5,5,2,1500,1000,True,0.423,0.4124,0.4124
lsh_random,True,True,4,20,5,5,5,1500,1000,True,0.4162,0.3766,0.3766
lsh_random,True,True,4,20,5,5,10,1500,1000,True,0.4754,0.5158,0.5158
lsh_random,True,True,4,20,5,10,1,1500,1000,True,0.2444,0.2006,0.2006
lsh_random,True,True,4,20,5,10,2,1500,1000,True,0.2352,0.2414,0.2414
lsh_random,True,True,4,20,5,10,5,1500,1000,True,0.372,0.3712,0.3712
lsh_random,True,True,4,20,5,10,10,1500,1000,True,0.3962,0.379,0.379
lsh_random,True,True,4,20,5,20,1,1500,1000,True,0.1498,0.1392,0.1392
lsh_random,True,True,4,20,5,20,2,1500,1000,True,0.2018,0.1968,0.1968
lsh_random,True,True,4,20,5,20,5,1500,1000,True,0.2506,0.2464,0.2464
lsh_random,True,True,4,20,5,20,10,1500,1000,True,0.2342,0.2044,0.2044
lsh_random,True,True,4,20,5,5,1,1750,1000,True,0.3876,0.3908,0.3908
lsh_random,True,True,4,20,5,5,2,1750,1000,True,0.4738,0.4292,0.4292
lsh_random,True,True,4,20,5,5,5,1750,1000,True,0.5512,0.5198,0.5198
lsh_random,True,True,4,20,5,5,10,1750,1000,True,0.5548,0.531,0.531
lsh_random,True,True,4,20,5,10,1,1750,1000,True,0.2512,0.2472,0.2472
lsh_random,True,True,4,20,5,10,2,1750,1000,True,0.2812,0.28,0.28
lsh_random,True,True,4,20,5,10,5,1750,1000,True,0.4008,0.4076,0.4076
lsh_random,True,True,4,20,5,10,10,1750,1000,True,0.3744,0.3542,0.3542
lsh_random,True,True,4,20,5,20,1,1750,1000,True,0.207,0.2074,0.2074
lsh_random,True,True,4,20,5,20,2,1750,1000,True,0.185,0.1584,0.1584
lsh_random,True,True,4,20,5,20,5,1750,1000,True,0.2326,0.221,0.221
lsh_random,True,True,4,20,5,20,10,1750,1000,True,0.228,0.2296,0.2296
lsh_random,True,True,4,20,5,5,1,2000,1000,True,0.2578,0.247,0.247
lsh_random,True,True,4,20,5,5,2,2000,1000,True,0.504,0.4666,0.4666
lsh_random,True,True,4,20,5,5,5,2000,1000,True,0.5176,0.5054,0.5054
lsh_random,True,True,4,20,5,5,10,2000,1000,True,0.4858,0.463,0.463
lsh_random,True,True,4,20,5,10,1,2000,1000,True,0.366,0.3436,0.3436
lsh_random,True,True,4,20,5,10,2,2000,1000,True,0.2224,0.2236,0.2236
lsh_random,True,True,4,20,5,10,5,2000,1000,True,0.3192,0.2814,0.2814
lsh_random,True,True,4,20,5,10,10,2000,1000,True,0.3392,0.3384,0.3384
lsh_random,True,True,4,20,5,20,1,2000,1000,True,0.1838,0.1634,0.1634
lsh_random,True,True,4,20,5,20,2,2000,1000,True,0.2004,0.1836,0.1836
lsh_random,True,True,4,20,5,20,5,2000,1000,True,0.2148,0.2146,0.2146
lsh_random,True,True,4,20,5,20,10,2000,1000,True,0.2692,0.2406,0.2406
