method,model_batch_norm,model_dropout,model_layers,model_classes,model_supports,testing_classes,testing_supports,integer_range,unseen,cos_acc,true_lsh_acc,sigmoid_lsh_acc
lsh_one_rest,True,True,3,20,5,5,2,1000,True,0.9958,0.6294,0.9744
lsh_one_rest,True,True,3,20,5,10,2,1000,True,0.8376,0.361,0.6284
lsh_one_rest,True,True,3,20,5,20,2,1000,True,0.7802,0.0974,0.3376
lsh_one_rest,True,True,3,20,5,50,2,1000,True,0.6646,0.0402,0.159
lsh_one_rest,True,True,3,20,5,100,2,1000,True,0.5868,0.022,0.0842
lsh_one_rest,True,True,3,20,5,200,2,1000,True,0.5266,0.0068,0.05
lsh_one_rest,True,True,3,20,5,500,2,1000,True,0.4058,0.0034,0.0034
