method,model_batch_norm,model_dropout,model_layers,model_classes,model_supports,testing_classes,testing_supports,testing_planes,integer_range,unseen,cos_acc,true_lsh_acc,sigmoid_lsh_acc
lsh_random,True,True,3,20,5,5,1,2000,1000,True,0.9944,0.9668,0.99
lsh_random,True,True,3,20,5,10,1,2000,1000,True,0.8332,0.8864,0.8864
lsh_random,True,True,3,20,5,20,1,2000,1000,True,0.7956,0.7978,0.7978
lsh_random,True,True,3,20,5,50,1,2000,1000,True,0.7228,0.6664,0.6664
lsh_random,True,True,3,20,5,100,1,2000,1000,True,0.694,0.6184,0.6184
lsh_random,True,True,3,20,5,200,1,2000,1000,True,0.5298,0.484,0.484
lsh_random,True,True,3,20,5,500,1,2000,1000,True,0.4194,0.3568,0.3568
lsh_random,True,True,3,20,5,5,2,2000,1000,True,0.9402,0.9226,0.9226
lsh_random,True,True,3,20,5,10,2,2000,1000,True,0.835,0.7922,0.7922
lsh_random,True,True,3,20,5,20,2,2000,1000,True,0.804,0.7632,0.7632
lsh_random,True,True,3,20,5,50,2,2000,1000,True,0.7936,0.735,0.735
lsh_random,True,True,3,20,5,100,2,2000,1000,True,0.609,0.5482,0.5482
lsh_random,True,True,3,20,5,200,2,2000,1000,True,0.543,0.5048,0.5048
lsh_random,True,True,3,20,5,500,2,2000,1000,True,0.4256,0.3794,0.3794
lsh_random,True,True,3,20,5,5,5,2000,1000,True,0.9464,0.9422,0.9422
lsh_random,True,True,3,20,5,10,5,2000,1000,True,0.8348,0.8048,0.8048
lsh_random,True,True,3,20,5,20,5,2000,1000,True,0.8898,0.8636,0.8636
lsh_random,True,True,3,20,5,50,5,2000,1000,True,0.7404,0.681,0.681
lsh_random,True,True,3,20,5,100,5,2000,1000,True,0.6324,0.5948,0.5948
lsh_random,True,True,3,20,5,200,5,2000,1000,True,0.5422,0.4838,0.4838
lsh_random,True,True,3,20,5,500,5,2000,1000,True,0.407,0.3522,0.3522
lsh_random,True,True,3,20,5,5,10,2000,1000,True,0.8454,0.8014,0.8014
lsh_random,True,True,3,20,5,10,10,2000,1000,True,0.9352,0.9082,0.9082
lsh_random,True,True,3,20,5,20,10,2000,1000,True,0.8052,0.801,0.801
lsh_random,True,True,3,20,5,50,10,2000,1000,True,0.6444,0.6348,0.632
lsh_random,True,True,3,20,5,100,10,2000,1000,True,0.6326,0.5816,0.5816
lsh_random,True,True,3,20,5,200,10,2000,1000,True,0.5226,0.4652,0.4652
lsh_random,True,True,3,20,5,500,10,2000,1000,True,0.4244,0.377,0.377
