method,model_batch_norm,model_dropout,model_layers,model_classes,model_supports,testing_classes,testing_supports,testing_planes,integer_range,unseen,cos_acc,true_lsh_acc,sigmoid_lsh_acc
lsh_random,True,True,3,3,5,5,1,1750,1000,True,0.2006,0.1956,0.1956
lsh_random,True,True,3,3,5,5,2,1750,1000,True,0.2288,0.2348,0.2348
lsh_random,True,True,3,3,5,5,5,1750,1000,True,0.1994,0.1978,0.1978
lsh_random,True,True,3,3,5,5,10,1750,1000,True,0.2606,0.2382,0.2382
