method,model_batch_norm,model_dropout,model_layers,model_classes,model_supports,model_planes,model_plane_training,testing_classes,testing_supports,testing_planes,integer_range,unseen,cos_acc,true_lsh_acc,sigmoid_lsh_acc
lsh_random,True,True,4,20,5,1000,False,20,2,750,1000,True,0.19,0.197,0.197
lsh_random,True,True,4,20,5,1000,False,20,5,750,1000,True,0.268,0.263,0.263
lsh_random,True,True,4,20,5,1000,False,20,10,750,1000,True,0.226,0.166,0.164
lsh_random,True,True,4,20,5,1000,False,50,1,750,1000,True,0.131,0.051,0.051
lsh_random,True,True,4,20,5,1000,False,50,2,750,1000,True,0.131,0.075,0.075
lsh_random,True,True,4,20,5,1000,False,50,5,750,1000,True,0.122,0.086,0.086
lsh_random,True,True,4,20,5,1000,False,50,10,750,1000,True,0.162,0.083,0.083
lsh_random,True,True,4,20,5,1000,False,100,1,750,1000,True,0.093,0.079,0.079
lsh_random,True,True,4,20,5,1000,False,100,2,750,1000,True,0.098,0.07,0.07
lsh_random,True,True,4,20,5,1000,False,100,5,750,1000,True,0.119,0.066,0.066
lsh_random,True,True,4,20,5,1000,False,100,10,750,1000,True,0.095,0.057,0.057
lsh_random,True,True,4,20,5,1000,False,200,1,750,1000,True,0.049,0.031,0.031
lsh_random,True,True,4,20,5,1000,False,200,2,750,1000,True,0.064,0.03,0.03
lsh_random,True,True,4,20,5,1000,False,200,5,750,1000,True,0.06,0.033,0.033
lsh_random,True,True,4,20,5,1000,False,200,10,750,1000,True,0.065,0.046,0.046
lsh_random,True,True,4,20,5,1000,False,500,1,750,1000,True,0.026,0.014,0.014
lsh_random,True,True,4,20,5,1000,False,500,2,750,1000,True,0.035,0.021,0.021
lsh_random,True,True,4,20,5,1000,False,500,5,750,1000,True,0.027,0.019,0.019
lsh_random,True,True,4,20,5,1000,False,500,10,750,1000,True,0.047,0.024,0.024
lsh_random,True,True,4,20,5,1000,False,5,1,1000,1000,True,0.485,0.375,0.375
lsh_random,True,True,4,20,5,1000,False,5,2,1000,1000,True,0.415,0.5,0.5
lsh_random,True,True,4,20,5,1000,False,5,5,1000,1000,True,0.554,0.495,0.495
lsh_random,True,True,4,20,5,1000,False,5,10,1000,1000,True,0.634,0.431,0.431
