method,model_batch_norm,model_dropout,model_layers,model_classes,model_supports,testing_classes,testing_supports,integer_range,unseen,cos_acc,true_lsh_acc,sigmoid_lsh_acc
lsh_one_rest,True,True,3,20,5,5,1,1000,True,0.9602,0.6012,0.9152
lsh_one_rest,True,True,3,20,5,5,2,1000,True,0.9958,0.6294,0.9744
lsh_one_rest,True,True,3,20,5,5,5,1000,True,0.8672,0.5514,0.7908
lsh_one_rest,True,True,3,20,5,5,10,1000,True,0.9798,0.5524,0.8242
lsh_one_rest,True,True,3,20,5,10,1,1000,True,0.8238,0.346,0.5582
lsh_one_rest,True,True,3,20,5,10,2,1000,True,0.8376,0.361,0.6284
lsh_one_rest,True,True,3,20,5,10,5,1000,True,0.87,0.28,0.6688
lsh_one_rest,True,True,3,20,5,10,10,1000,True,0.9112,0.2036,0.5674
lsh_one_rest,True,True,3,20,5,20,1,1000,True,0.7536,0.1936,0.4478
lsh_one_rest,True,True,3,20,5,20,2,1000,True,0.7802,0.0974,0.3376
lsh_one_rest,True,True,3,20,5,20,5,1000,True,0.8322,0.169,0.4534
lsh_one_rest,True,True,3,20,5,20,10,1000,True,0.7378,0.182,0.3502
lsh_one_rest,True,True,3,20,5,50,1,1000,True,0.6796,0.0302,0.1534
lsh_one_rest,True,True,3,20,5,50,2,1000,True,0.6646,0.0402,0.159
lsh_one_rest,True,True,3,20,5,50,5,1000,True,0.7398,0.0516,0.2086
lsh_one_rest,True,True,3,20,5,50,10,1000,True,0.7192,0.052,0.2124
lsh_one_rest,True,True,3,20,5,100,1,1000,True,0.6352,0.0224,0.0978
lsh_one_rest,True,True,3,20,5,100,2,1000,True,0.5868,0.022,0.0842
lsh_one_rest,True,True,3,20,5,100,5,1000,True,0.6092,0.0162,0.0982
lsh_one_rest,True,True,3,20,5,100,10,1000,True,0.6372,0.0222,0.138
lsh_one_rest,True,True,3,20,5,200,1,1000,True,0.5652,0.0074,0.052
lsh_one_rest,True,True,3,20,5,200,2,1000,True,0.5266,0.0068,0.05
lsh_one_rest,True,True,3,20,5,200,5,1000,True,0.541,0.0054,0.049
lsh_one_rest,True,True,3,20,5,200,10,1000,True,0.5644,0.0116,0.0538
lsh_one_rest,True,True,3,20,5,500,1,1000,True,0.3864,0.002,0.0164
lsh_one_rest,True,True,3,20,5,500,2,1000,True,0.4058,0.0034,0.0034
lsh_one_rest,True,True,3,20,5,500,5,1000,True,0.414,0.0026,0.0146
lsh_one_rest,True,True,3,20,5,500,10,1000,True,0.4156,0.004,0.004
